id_pedido;fecha_hora;categoria;producto;cantidad;precio_unitario;monto_total;canal_venta;metodo_pago;calificacion
ORD-1000;21/06/2026 16:01;Gourmet;Hamburguesa Huachana;2;32;64;Delivery App;Yape/Plin;4
ORD-1001;15/05/2026 17:53;Clásicas;Cheeseburger Doble;1;24;24;Presencial;Tarjeta de Crédito;4
ORD-1002;11/07/2026 20:27;Clásicas;Cheeseburger Doble;1;24;24;Presencial;Efectivo;5
ORD-1003;30/06/2026 14:48;Clásicas;Hamburguesa Clásica;2;18;36;Presencial;Efectivo;5
ORD-1004;21/05/2026 21:49;Gourmet;Hamburguesa Huachana;4;32;128;Web Directa;Yape/Plin;4
ORD-1005;22/07/2026 20:29;Clásicas;Hamburguesa Clásica;3;18;54;Presencial;Tarjeta de Crédito;4
ORD-1006;26/07/2026 13:37;Especiales;Hamburguesa La Churrita ;2;28.5;57;Presencial;Yape/Plin;4
ORD-1007;14/07/2026 12:50;Especiales;Hamburguesa Extrema ;1;36;36;Para Llevar;Tarjeta de Crédito;5
ORD-1008;14/07/2026 12:03;Clásicas;Hamburguesa Clásica;1;18;18;Delivery App;Tarjeta de Crédito;3
ORD-1009;27/07/2026 11:00;Extranjeras;Hamguersa Mexicana;3;21;63;Presencial;Yape/Plin;5
ORD-1010;24/05/2026 12:07;Especiales;Hamburguesa Extrema ;1;36;36;Presencial;Tarjeta de Crédito;5
ORD-1011;3/05/2026 18:28;Clásicas;Hamburguesa Clásica;1;18;18;Para Llevar;Tarjeta de Débito;4
ORD-1012;22/05/2026 12:54;Pollo;Crispy Chicken Burger;1;22;22;Presencial;Efectivo;4
ORD-1013;22/06/2026 14:38;Especiales;Hamburguesa La Churrita ;2;28.5;57;Delivery App;Tarjeta de Crédito;5
ORD-1014;2/05/2026 19:02;Extranjeras;Hamguersa Mexicana;4;21;84;Delivery App;Tarjeta de Crédito;5
ORD-1015;27/07/2026 11:31;Especiales;Hamburguesa La Churrita ;1;28.5;28.5;Presencial;Efectivo;4
ORD-1016;30/05/2026 19:09;Especiales;Hamburguesa La Churrita ;1;28.5;28.5;Delivery App;Tarjeta de Crédito;5
ORD-1017;7/06/2026 14:09;Especiales;Hamburguesa La Churrita ;2;28.5;57;Presencial;Yape/Plin;5
ORD-1018;2/05/2026 12:18;Pollo;Crispy Chicken Burger;5;22;110;Presencial;Efectivo;5
ORD-1019;3/07/2026 18:45;Gourmet;Hamburguesa Huachana;1;32;32;Delivery App;Efectivo;3
ORD-1020;29/06/2026 18:33;Especiales;Hamburguesa La Churrita ;1;28.5;28.5;Web Directa;Yape/Plin;5
ORD-1021;21/05/2026 20:59;Pollo;Crispy Chicken Burger;1;22;22;Delivery App;Tarjeta de Crédito;1
ORD-1022;2/06/2026 19:32;Clásicas;Hamburguesa Clásica;3;18;54;Delivery App;Tarjeta de Crédito;4
ORD-1023;15/07/2026 19:22;Clásicas;Hamburguesa Clásica;1;18;18;Presencial;Yape/Plin;1
ORD-1024;27/06/2026 14:54;Clásicas;Hamburguesa Clásica;1;18;18;Presencial;Yape/Plin;2
ORD-1025;22/05/2026 13:27;Clásicas;Cheeseburger Doble;2;24;48;Presencial;Tarjeta de Débito;5
ORD-1026;28/07/2026 19:31;Clásicas;Hamburguesa Clásica;2;18;36;Presencial;Tarjeta de Crédito;5
ORD-1027;18/06/2026 19:49;Extranjeras;Hamguersa Mexicana;1;23;23;Presencial;Tarjeta de Crédito;5
ORD-1028;30/07/2026 22:06;Clásicas;Hamburguesa Clásica;3;18;54;Presencial;Tarjeta de Crédito;5
ORD-1029;28/06/2026 15:28;Gourmet;Hamburguesa Huachana;1;32;32;Presencial;Yape/Plin;4
ORD-1030;11/06/2026 14:07;Clásicas;Hamburguesa Clásica;2;18;36;Presencial;Tarjeta de Débito;5
ORD-1031;31/07/2026 19:00;Pollo;Crispy Chicken Burger;1;22;22;Delivery App;Efectivo;5
ORD-1032;29/06/2026 14:56;Especiales;Hamburguesa Extrema ;2;36;72;Web Directa;Yape/Plin;5
ORD-1033;19/07/2026 20:54;Clásicas;Cheeseburger Doble;1;24;24;Presencial;Tarjeta de Crédito;3
ORD-1034;15/05/2026 20:02;Pollo;Crispy Chicken Burger;3;22;66;Para Llevar;Tarjeta de Débito;5
ORD-1035;1/07/2026 15:23;Clásicas;Hamburguesa Clásica;2;18;36;Web Directa;Tarjeta de Débito;5
ORD-1036;1/07/2026 19:22;Pollo;Crispy Chicken Burger;2;22;44;Presencial;Tarjeta de Débito;5
ORD-1037;16/06/2026 19:58;Clásicas;Hamburguesa Clásica;2;18;36;Delivery App;Yape/Plin;3
ORD-1038;1/07/2026 12:07;Extranjeras;Hamguersa Mexicana;2;21;42;Delivery App;Yape/Plin;4
ORD-1039;20/06/2026 20:53;Clásicas;Hamburguesa Clásica;1;18;18;Delivery App;Yape/Plin;5
ORD-1040;24/06/2026 17:56;Especiales;Hamburguesa La Churrita ;1;28.5;28.5;Presencial;Tarjeta de Crédito;5
ORD-1041;3/07/2026 19:46;Gourmet;Hamburguesa Huachana;4;32;128;Delivery App;Tarjeta de Crédito;5
ORD-1042;3/05/2026 14:36;Clásicas;Cheeseburger Doble;1;24;24;Presencial;Yape/Plin;5
ORD-1043;20/06/2026 20:02;Clásicas;Hamburguesa Clásica;2;18;36;Delivery App;Tarjeta de Crédito;2
ORD-1044;7/05/2026 14:50;Clásicas;Hamburguesa Clásica;4;18;72;Delivery App;Tarjeta de Crédito;4
ORD-1045;21/05/2026 11:32;Clásicas;Cheeseburger Doble;1;24;24;Delivery App;Tarjeta de Crédito;5
ORD-1046;12/07/2026 20:27;Especiales;Hamburguesa La Churrita ;2;28.5;57;Delivery App;Yape/Plin;3
ORD-1047;8/06/2026 12:46;Clásicas;Hamburguesa Clásica;1;18;18;Delivery App;Tarjeta de Crédito;5
ORD-1048;18/05/2026 14:07;Clásicas;Cheeseburger Doble;2;24;48;Presencial;Yape/Plin;4
ORD-1049;4/05/2026 21:33;Clásicas;Hamburguesa Clásica;1;18;18;Presencial;Efectivo;3
