id_pedido,fecha_hora,categoria,producto,cantidad,precio_unitario,descuento_unitario,monto_total,canal_venta,metodo_pago,calificacion,descuento_unitario_propuesto,cantidad_proyectada,monto_total_proyectado,incremento_monto
ORD-1000,2026-06-21 16:01:00,Gourmet,Hamburguesa huachana,2,32.0,0.0,64.0,Delivery App,Yape/Plin,4,4.8,2.0,54.4,-9.6
ORD-1001,2026-05-15 17:53:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Tarjeta de Crédito,4,2.4,1.0,21.6,-2.4
ORD-1002,2026-07-11 20:27:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Efectivo,5,2.4,1.0,21.6,-2.4
ORD-1003,2026-06-30 14:48:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Efectivo,5,1.8,2.0,32.4,-3.6
ORD-1004,2026-05-21 21:49:00,Gourmet,Hamburguesa huachana,4,32.0,6.4,102.4,Web Directa,Yape/Plin,4,6.4,4.0,102.4,0.0
ORD-1005,2026-07-22 20:29:00,Clásicas,Hamburguesa Clásica,3,18.0,3.6,43.2,Presencial,Tarjeta de Crédito,4,3.6,3.0,43.2,0.0
ORD-1006,2026-07-26 13:37:00,Especiales,Hamburguesa La Churrita,2,28.5,0.0,57.0,Presencial,Yape/Plin,4,4.28,2.0,48.44,-8.56
ORD-1007,2026-07-14 12:50:00,Especiales,Hamburguesa Extrema,1,36.0,7.2,28.8,Para Llevar,Tarjeta de Crédito,5,7.2,1.0,28.8,0.0
ORD-1008,2026-07-14 12:03:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Delivery App,Tarjeta de Crédito,3,1.8,1.0,16.2,-1.8
ORD-1009,2026-07-27 11:00:00,Extranjera,Hamburguesa Mexicana,3,21.0,0.0,63.0,Presencial,Yape/Plin,5,4.2,6.0,100.8,37.8
ORD-1010,2026-05-24 12:07:00,Especiales,Hamburguesa Extrema,1,36.0,0.0,36.0,Presencial,Tarjeta de Crédito,5,5.4,1.0,30.6,-5.4
ORD-1011,2026-05-03 18:28:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Para Llevar,Tarjeta de Débito,4,1.8,1.0,16.2,-1.8
ORD-1012,2026-05-22 12:54:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Presencial,Efectivo,4,2.2,1.0,19.8,-2.2
ORD-1013,2026-06-22 14:38:00,Especiales,Hamburguesa La Churrita,2,28.5,0.0,57.0,Delivery App,Tarjeta de Crédito,5,4.28,2.0,48.44,-8.56
ORD-1014,2026-05-02 19:02:00,Extranjera,Hamburguesa Mexicana,4,21.0,3.15,71.4,Delivery App,Tarjeta de Crédito,5,3.15,4.0,71.4,0.0
ORD-1015,2026-07-27 11:31:00,Especiales,Hamburguesa La Churrita,1,28.5,5.7,22.8,Presencial,Efectivo,4,5.7,1.0,22.8,0.0
ORD-1016,2026-05-30 19:09:00,Especiales,Hamburguesa La Churrita,1,28.5,0.0,28.5,Delivery App,Tarjeta de Crédito,5,4.28,1.0,24.22,-4.28
ORD-1017,2026-06-07 14:09:00,Especiales,Hamburguesa La Churrita,2,28.5,0.0,57.0,Presencial,Yape/Plin,5,4.28,2.0,48.44,-8.56
ORD-1018,2026-05-02 12:18:00,Pollo,Crispy Chicken Burger,5,22.0,2.2,99.0,Presencial,Efectivo,5,2.2,5.0,99.0,0.0
ORD-1019,2026-07-03 18:45:00,Gourmet,Hamburguesa huachana,1,32.0,0.0,32.0,Delivery App,Efectivo,3,4.8,1.0,27.2,-4.8
ORD-1020,2026-06-29 18:33:00,Especiales,Hamburguesa La Churrita,1,28.5,4.27,24.23,Web Directa,Yape/Plin,5,4.27,1.0,24.23,0.0
ORD-1021,2026-05-21 20:59:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Delivery App,Tarjeta de Crédito,1,2.2,1.0,19.8,-2.2
ORD-1022,2026-06-02 19:32:00,Clásicas,Hamburguesa Clásica,3,18.0,0.0,54.0,Delivery App,Tarjeta de Crédito,4,1.8,3.0,48.6,-5.4
ORD-1023,2026-07-15 19:22:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Yape/Plin,1,1.8,1.0,16.2,-1.8
ORD-1024,2026-06-27 14:54:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Yape/Plin,2,1.8,1.0,16.2,-1.8
ORD-1025,2026-05-22 13:27:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Presencial,Tarjeta de Débito,5,2.4,2.0,43.2,-4.8
ORD-1026,2026-07-28 19:31:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Tarjeta de Crédito,5,1.8,2.0,32.4,-3.6
ORD-1027,2026-06-18 19:49:00,Extranjera,Hamburguesa Mexicana,1,23.0,0.0,23.0,Presencial,Tarjeta de Crédito,5,4.6,2.0,36.8,13.8
ORD-1028,2026-07-30 22:06:00,Clásicas,Hamburguesa Clásica,3,18.0,2.7,45.9,Presencial,Tarjeta de Crédito,5,2.7,3.0,45.9,0.0
ORD-1029,2026-06-28 15:28:00,Gourmet,Hamburguesa huachana,1,32.0,4.8,27.2,Presencial,Yape/Plin,4,4.8,1.0,27.2,0.0
ORD-1030,2026-06-11 14:07:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Tarjeta de Débito,5,1.8,2.0,32.4,-3.6
ORD-1031,2026-07-31 19:00:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Delivery App,Efectivo,5,2.2,1.0,19.8,-2.2
ORD-1032,2026-06-29 14:56:00,Especiales,Hamburguesa Extrema,2,36.0,0.0,72.0,Web Directa,Yape/Plin,5,5.4,2.0,61.2,-10.8
ORD-1033,2026-07-19 20:54:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Tarjeta de Crédito,3,2.4,1.0,21.6,-2.4
ORD-1034,2026-05-15 20:02:00,Pollo,Crispy Chicken Burger,3,22.0,0.0,66.0,Para Llevar,Tarjeta de Débito,5,2.2,3.0,59.4,-6.6
ORD-1035,2026-07-01 15:23:00,Clásicas,Hamburguesa Clásica,2,18.0,3.6,28.8,Web Directa,Tarjeta de Débito,5,3.6,2.0,28.8,0.0
ORD-1036,2026-07-01 19:22:00,Pollo,Crispy Chicken Burger,2,22.0,0.0,44.0,Presencial,Tarjeta de Débito,5,2.2,2.0,39.6,-4.4
ORD-1037,2026-06-16 19:58:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Delivery App,Yape/Plin,3,1.8,2.0,32.4,-3.6
ORD-1038,2026-07-01 12:07:00,Extranjera,Hamburguesa Mexicana,2,21.0,0.0,42.0,Delivery App,Yape/Plin,4,4.2,4.0,67.2,25.2
ORD-1039,2026-06-20 20:53:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Delivery App,Yape/Plin,5,1.8,1.0,16.2,-1.8
ORD-1040,2026-06-24 17:56:00,Especiales,Hamburguesa La Churrita,1,28.5,2.85,25.65,Presencial,Tarjeta de Crédito,5,2.85,1.0,25.65,0.0
ORD-1041,2026-07-03 19:46:00,Gourmet,Hamburguesa huachana,4,32.0,0.0,128.0,Delivery App,Tarjeta de Crédito,5,4.8,5.0,136.0,8.0
ORD-1042,2026-05-03 14:36:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Yape/Plin,5,2.4,1.0,21.6,-2.4
ORD-1043,2026-06-20 20:02:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Delivery App,Tarjeta de Crédito,2,1.8,2.0,32.4,-3.6
ORD-1044,2026-05-07 14:50:00,Clásicas,Hamburguesa Clásica,4,18.0,0.0,72.0,Delivery App,Tarjeta de Crédito,4,1.8,4.0,64.8,-7.2
ORD-1045,2026-05-21 11:32:00,Clásicas,Cheeseburger Doble,1,24.0,2.4,21.6,Delivery App,Tarjeta de Crédito,5,2.4,1.0,21.6,0.0
ORD-1046,2026-07-12 20:27:00,Especiales,Hamburguesa La Churrita,2,28.5,5.7,45.6,Delivery App,Yape/Plin,3,5.7,2.0,45.6,0.0
ORD-1047,2026-06-08 12:46:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Delivery App,Tarjeta de Crédito,5,1.8,1.0,16.2,-1.8
ORD-1048,2026-05-18 14:07:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Presencial,Yape/Plin,4,2.4,2.0,43.2,-4.8
ORD-1049,2026-05-04 21:33:00,Clásicas,Hamburguesa Clásica,1,18.0,0.0,18.0,Presencial,Efectivo,3,1.8,1.0,16.2,-1.8
ORD-1050,2026-07-28 21:34:00,Pollo,Crispy Chicken Burger,1,22.0,0.0,22.0,Web Directa,Tarjeta de Crédito,5,2.2,1.0,19.8,-2.2
ORD-1051,2026-06-29 17:31:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Tarjeta de Crédito,4,1.8,2.0,32.4,-3.6
ORD-1052,2026-05-14 18:23:00,Clásicas,Cheeseburger Doble,2,24.0,0.0,48.0,Presencial,Tarjeta de Crédito,5,2.4,2.0,43.2,-4.8
ORD-1053,2026-05-09 15:13:00,Clásicas,Hamburguesa Clásica,2,18.0,0.0,36.0,Presencial,Yape/Plin,5,1.8,2.0,32.4,-3.6
ORD-1054,2026-07-29 14:31:00,Clásicas,Cheeseburger Doble,1,24.0,0.0,24.0,Presencial,Tarjeta de Crédito,5,2.4,1.0,21.6,-2.4
